County,Precinct,CD,Clinton,Trump,Total,Other
Westerly,Westerly 3602,2,943,760,1777,74
Westerly,Westerly 3603,2,965,761,1822,96
Westerly,Westerly 3604,2,835,874,1782,73
Westerly,Westerly 3605,2,867,801,1752,84
Westerly,Westerly 3606,2,707,735,1523,81
Westerly,Westerly 3607,2,573,649,1282,60
Westerly,Westerly Limited,2,0,0,0,0
Westerly,Westerly Presidential,2,61,71,137,5
Woonsocket,Woonsocket 3901,1,140,84,239,15
Woonsocket,Woonsocket 3902,1,400,230,659,29
Woonsocket,Woonsocket 3903,1,300,162,483,21
Woonsocket,Woonsocket 3904,1,757,358,1168,53
Woonsocket,Woonsocket 3905,1,506,425,987,56
Woonsocket,Woonsocket 3906,1,516,393,970,61
Woonsocket,Woonsocket 3907,1,563,628,1269,78
Woonsocket,Woonsocket 3908,1,491,635,1190,64
Woonsocket,Woonsocket 3909,1,700,782,1555,73
Woonsocket,Woonsocket 3910,1,686,759,1533,88
Woonsocket,Woonsocket 3911,1,677,465,1212,70
Woonsocket,Woonsocket 3912,1,506,448,1011,57
Woonsocket,Woonsocket Limited,1,0,0,0,0
Woonsocket,Woonsocket Presidential,1,104,73,183,6
,,,,,,
Providence (pt.),Providence Presidential,1,629,137,810,44
Providence (pt.),Providence Presidential,2,422,147,603,34
,,,,,,
Barrington,Barrington,1,18,1,20,1
Bristol,Bristol,1,17,2,20,2
Burrillville,Burrillville,2,5,1,7,0
Central Falls,Central Falls,1,10,0,10,0
Charlestown,Charlestown,2,5,0,5,0
Coventry,Coventry,2,15,2,18,1
Cranston,Cranston,2,40,3,45,1
Cumberland,Cumberland,1,25,3,30,2
East Greenwich,East Greenwich,2,9,1,10,0
East Providence,East Providence,1,34,3,40,2
Exeter,Exeter,2,3,0,4,0
Foster,Foster,2,2,0,2,0
Glocester,Glocester,2,4,1,5,0
Hopkinton,Hopkinton,2,4,0,4,0
Jamestown,Jamestown,1,6,0,7,0
Johnston,Johnston,2,12,2,14,0
Lincoln,Lincoln,1,15,2,19,1
Little Compton,Little Compton,1,3,0,4,0
Middletown,Middletown,1,12,1,14,1
Narragansett,Narragansett,2,9,1,10,0
New Shoreham,New Shoreham,2,1,0,1,0
Newport,Newport,1,18,1,20,1
North Kingstown,North Kingstown,2,17,1,19,1
North Providence,North Providence,1,22,3,27,1
North Smithfield,North Smithfield,1,7,1,10,1
Pawtucket,Pawtucket,1,45,2,50,2
Portsmouth,Portsmouth,1,14,2,17,1
Providence (pt.),Providence (pt.),1,78,1,82,3
Providence (pt.),Providence (pt.),2,39,1,40,1
Richmond,Richmond,2,4,0,4,0
Scituate,Scituate,2,4,1,5,0
Smithfield,Smithfield,1,13,2,16,1
South Kingstown,South Kingstown,2,19,1,20,1
Tiverton,Tiverton,1,12,2,14,1
Warren,Warren,1,8,1,9,1
Warwick,Warwick,2,43,4,48,1
West Greenwich,West Greenwich,2,2,0,3,0
West Warwick,West Warwick,2,12,1,13,0
Westerly,Westerly,2,11,1,13,0
Woonsocket,Woonsocket,1,18,2,22,2
,,,,,,
Federal Only,Federal District 1,1,376,30,432,26
Federal Only,Federal District 2,2,261,23,291,7
