County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Schleicher,Schleicher,23,208,821,"1,056",,,,,,,,,,,,,,,,,,,,,
Scurry,Scurry,19,733,"4,410","5,268",,,,,,,,,,,,,,,,,,,,,
Shackelford,Shackelford,19,103,"1,378","1,502",,,,,,,,,,,,,,,,,,,,,
Shelby,Shelby,1,"1,758","7,179","9,081",,,,,,,,,,,,,,,,,,,,,
Sherman,Sherman,13,96,807,933,,,,,,,,,,,,,,,,,,,,,
Smith,Smith,1,"22,300","58,930","83,647",,,,,,,,,,,,,,,,,,,,,
Somervell,Somervell,25,541,"3,206","3,877",,,,,,,,,,,,,,,,,,,,,
Starr,Starr,28,"9,289","2,224","11,740",,,,,,,,,,,,,,,,,,,,,
Sterling,Sterling,11,70,549,633,,,,,,,,,,,,,,,,,,,,,
Stonewall,Stonewall,19,135,555,701,,,,,,,,,,,,,,,,,,,,,
Sutton,Sutton,23,313,"1,075","1,415",,,,,,,,,,,,,,,,,,,,,
Swisher,Swisher,13,462,"1,671","2,190",,,,,,,,,,,,,,,,,,,,,
Taylor,Taylor,19,"10,085","33,250","45,387",,,,,,,,,,,,,,,,,,,,,
Terrell,Terrell,23,140,288,438,,,,,,,,,,,,,,,,,,,,,
Terry,Terry,19,753,"2,459","3,345",,,,,,,,,,,,,,,,,,,,,
Throckmorton,Throckmorton,19,84,715,808,,,,,,,,,,,,,,,,,,,,,
Titus,Titus,4,"2,597","6,511","9,343",,,,,,,,,,,,,,,,,,,,,
Tom Green,TomGreen,11,"9,173","27,494","38,287",,,,,,,,,,,,,,,,,,,,,
Trinity,Trinity,8,"1,154","4,737","5,982",,,,,,,,,,,,,,,,,,,,,
Tyler,Tyler,36,"1,248","6,624","7,997",,,,,,,,,,,,,,,,,,,,,
Upton,Upton,23,286,"1,007","1,345",,,,,,,,,,,,,,,,,,,,,
Uvalde,Uvalde,23,"3,867","4,835","8,947",,,,,,,,,,,,,,,,,,,,,
Val Verde,ValVerde,23,"6,964","5,890","13,558",,,,,,,,,,,,,,,,,,,,,
Van Zandt,VanZandt,5,"2,799","18,473","21,734",,,,,,,,,,,,,,,,,,,,,
Victoria,Victoria,27,"8,866","21,275","31,079",,,,,,,,,,,,,,,,,,,,,
Walker,Walker,8,"6,091","12,884","19,696",,,,,,,,,,,,,,,,,,,,,
Waller,Waller,10,"5,748","10,531","16,725",,,,,,,,,,,,,,,,,,,,,
Ward,Ward,23,783,"2,547","3,422",,,,,,,,,,,,,,,,,,,,,
Washington,Washington,10,"3,382","10,945","14,749",,,,,,,,,,,,,,,,,,,,,
Webb,Webb,28,"42,307","12,947","56,878",,,,,,,,,,,,,,,,,,,,,
Wharton,Wharton,27,"4,238","10,149","14,707",,,,,,,,,,,,,,,,,,,,,
Wheeler,Wheeler,13,194,"2,087","2,306",,,,,,,,,,,,,,,,,,,,,
Wichita,Wichita,13,"8,770","27,631","37,965",,,,,,,,,,,,,,,,,,,,,
Wilbarger,Wilbarger,13,809,"3,166","4,103",,,,,,,,,,,,,,,,,,,,,
Willacy,Willacy,34,"3,422","1,547","5,095",,,,,,,,,,,,,,,,,,,,,
Williamson,Williamson,31,"84,468","104,175","200,919",,,,,,,,,,,,,,,,,,,,,
Winkler,Winkler,23,420,"1,403","1,873",,,,,,,,,,,,,,,,,,,,,
Yoakum,Yoakum,19,426,"1,797","2,299",,,,,,,,,,,,,,,,,,,,,
Young,Young,19,876,"6,601","7,676",,,,,,,,,,,,,,,,,,,,,
Zapata,Zapata,28,"2,063","1,029","3,142",,,,,,,,,,,,,,,,,,,,,
Zavala,Zavala,23,"2,636",694,"3,396",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,10,"6,235","9,176","16,213",802,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,17,119,276,412,17,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,27,"4,215","6,876","11,655",564,,,,,,,,,,,,,,,,,,,,
Bell (pt.),Bell,25,"5,088","2,350","7,844",406,,,,,,,,,,,,,,,,,,,,
Bell (pt.),Bell,31,"32,713","49,648","86,591","4,230",,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,20,"132,083","74,211","216,470","10,176",,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,21,"50,134","59,928","115,674","5,612",,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,23,"52,384","54,335","111,351","4,632",,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,28,"27,867","26,433","56,795","2,495",,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,35,"56,406","24,860","85,016","3,750",,,,,,,,,,,,,,,,,,,,
Brazoria (pt.),Brazoria,14,"15,127","36,572","53,593","1,894",,,,,,,,,,,,,,,,,,,,
Brazoria (pt.),Brazoria,22,"28,073","36,219","66,972","2,680",,,,,,,,,,,,,,,,,,,,
Caldwell (pt.),Caldwell,27,"2,128","4,111","6,517",278,,,,,,,,,,,,,,,,,,,,
Caldwell (pt.),Caldwell,35,"2,667","2,580","5,520",273,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,3,"129,384","174,561","318,536","14,591",,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,4,"4,173","14,510","19,452",769,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,32,"7,067","11,943","20,044","1,034",,,,,,,,,,,,,,,,,,,,
Comal (pt.),Comal,21,"10,283","37,946","50,040","1,811",,,,,,,,,,,,,,,,,,,,
Comal (pt.),Comal,35,"3,955","7,190","11,745",600,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,5,"52,563","38,374","94,865","3,928",,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,24,"60,966","49,152","115,598","5,480",,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,26,85,85,181,11,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,30,"174,528","40,333","220,711","5,850",,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,32,"127,828","117,758","258,036","12,450",,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,33,"45,110","17,243","64,773","2,420",,,,,,,,,,,,,,,,,,,,
Denton (pt.),Denton,24,"21,503","21,706","45,369","2,160",,,,,,,,,,,,,,,,,,,,
Denton (pt.),Denton,26,"89,387","148,897","250,367","12,083",,,,,,,,,,,,,,,,,,,,
El Paso (pt.),ElPaso,16,"130,784","52,334","192,692","9,574",,,,,,,,,,,,,,,,,,,,
El Paso (pt.),ElPaso,23,"17,059","3,178","21,215",978,,,,,,,,,,,,,,,,,,,,
Erath (pt.),Erath,11,"1,090","6,104","7,412",218,,,,,,,,,,,,,,,,,,,,
Erath (pt.),Erath,25,"1,070","5,106","6,404",228,,,,,,,,,,,,,,,,,,,,
Floyd (pt.),Floyd,13,163,665,847,19,,,,,,,,,,,,,,,,,,,,
Floyd (pt.),Floyd,19,272,809,"1,112",31,,,,,,,,,,,,,,,,,,,,
Fort Bend (pt.),FortBend,9,"43,287","10,583","55,171","1,301",,,,,,,,,,,,,,,,,,,,
Fort Bend (pt.),FortBend,22,"91,399","106,708","205,496","7,389",,,,,,,,,,,,,,,,,,,,
Gonzales (pt.),Gonzales,27,"1,195","3,174","4,496",127,,,,,,,,,,,,,,,,,,,,
Gonzales (pt.),Gonzales,34,376,"1,413","1,819",30,,,,,,,,,,,,,,,,,,,,
